Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Дворец Спорта  (В направлении площади здоровья);пер. Халтуринский, 103  (4ая опора по ул. Халтуринской от ул. Малюгиной);1;стационарная;47.228378;39.698266;10;789;10.3.49.1;1/0/16;10.3.49.17;uplink gi1/0/9, camera gi1/0/1;RST-ROST-67-BG-Halturinsk103-SW1-MES3508P;;;;;;
Дворец Спорта (В направлении площади здоровья);пер. Халтуринский, 103 (5ая опора по ул. Халтуринской от ул. Малюгиной);1;стационарная;47.227752;39.698577;10;789;10.3.49.1;1/0/18;10.3.49.19;uplink gi1/0/9, camera gi1/0/1;RST-ROST-67-BG-Halturinsk103-SW2-MES3508P ;;;;;;
Дворец Спорта (В направлении пешеходной зоны между Дворцом спорта и прокуратурой РО);пер. Халтуринский, 103 (6ая опора по ул. Халтуринской от ул. Малюгиной);1;стационарная;47.227397;39.698749;10;789;10.3.49.1;1/0/19;10.3.49.20;uplink gi1/0/9, camera gi1/0/1;RST-ROST-67-BG-Halturinsk103-SW3-MES3508P;;;;;;
Пешеходная зона пер. Соборный (В обоих направлениях по пер. Соборному);пер. Соборный, 26/71 (угол здания университета юстиций);2;стационарная;47.220049;39.710917;20;789;10.3.120.1;GE0/0/7;10.3.120.8;uplink gi1/0/9, camera 1 gi1/0/1;RST-ROST-62-BG-Soborniy26.71-SW1-MES3508P;Паровозиком 2-й Элтекс(неуправляемый) камера 2 gi1/0/10;;;;;
Пешеходная зона пер. Соборный (В обоих направлениях по пер. Соборному);пер. Соборный, 24 (угол здания БЦ Соборный) ;2;стационарная;47.219535;39.711131;20;789;10.3.120.1;GE0/0/8;10.3.120.10;uplink gi1/0/9, camera 1 gi1/0/1 camera 2 gi1/0/2;RST-ROST-62-BG-Soborniy24-SW1-MES3508P;;;;;;
Пешеходная зона пер. Соборный (В обоих направлениях по пер. Соборному);пер. Соборный, 22 (на углу здания, над магазином Галерея Времени) ;2;стационарная;47.219020;39.711346;20;789;10.3.120.1;GE0/0/9;10.3.120.9;uplink gi1/0/9, camera 1 gi1/0/1 camera 2 gi1/0/2; RST-ROST-62-BG-Soborniy22-SW1-MES3508P;;;;;;
Отель Эрмитаж (В направлении входа в отель);ул. Ульяновская, 57 (опора напротив входа в отель) ;1;стационарная;47.216954;39.719573;10;789;10.3.123.1;GE0/0/16;10.3.123.17;uplink gi1/0/9,  camera gi1/0/1;RST-ROST-62-BG-Ulynovsk57-SW1-MES3508P;;;;;;
Отель Эрмитаж (В направлении входа в отель);ул. Ульяновская, 59 (опора напротив входа в отель);1;стационарная;47.217025;39.719983;10;789;10.3.123.1;GE0/0/18;10.3.123.19;uplink gi1/0/9, camera gi1/0/1;RST-ROST-62-BG-Ulynovsk59-SW1-MES350;;;;;;
Отель Эрмитаж (В направлении отеля);Перекресток ул. Ульяновская и пер. Газетный, 14;1;стационарная;47.216676;39.718221;10;789;10.3.123.1;GE0/0/17;10.3.123.18;uplink gi1/0/9, camera gi1/0/1;RST-ROST-62-BG-Gazetniy14-SW1-MES3508P;;;;;;
Трасса М4 Дон (Автодорожный мост М4, в обоих направлениях);пр. Аксайский, 21д-2;4;определения ГРЗ;47.284503;39.846733;40;;;;;;;;;;;;
Трасса М4 Дон (Золотой мост Аксай, в направлении из города);г. Аксай, ул. Открытая;2;определения ГРЗ;47.244095;39.848574;20;;;;;;;;;;;;
Трасса М4 Дон (Золотой мост Аксай, по направлению в город);г. Аксай, ул. Открытая;2;определения ГРЗ;47.244478;39.848411;20;;;;;;;;;;;;
