№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
Столбец 1;Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;Столбец 14;Столбец 15;Столбец 16;Столбец 17;Столбец 18;Столбец 19;Столбец 20;Столбец 21;Столбец 22;Столбец 23;Столбец 24;Столбец 25;Столбец 26;Столбец 27;;;;;;;
Образец;Алтайский филиал;Рай.центр;Бийск, Ул. Ленина д.3.;MES5248-Biysk ;КА;MES5248/Eltex;Обл.Центр;Барнаул, ул. Ленина, д.1. ;EX8208-Barnaul;DR;EX8208/Juniper;10;8;DWDM;0;0;10;8;80;1,25;1,60;11;110;0,91;Организация дополнительно канала 10G с резервированием по транспортной ести;;;;;;;;
1;Ростовский филиал;Рай.центр;АЗОВ;RoAzvPtBl22mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;5,98;DWDM;777;10;10;5,77;57,7;;;;;;;;5,98;;;;;;
2;Ростовский филиал;Рай.центр;АЗОВ;RoAzvPtBl22mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;6,35;DWDM;;;10;5,38;53,8;;;;;;;;;;;;;;
3;Ростовский филиал;Рай.центр;АЗОВ;RoAzvPtBl22mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;0;DWDM;;;10;0;0;;;;;;;;;;;;;;
4;Ростовский филиал;Рай.центр;АЗОВ;RoAzvPtBl22mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0;DWDM;;;10;0;0;;;;;;;;;;;;;;
5;Ростовский филиал;Рай.центр;АКСАЙ;RoAksLnn30mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;5,83;DWDM;;;10;5,83;58,3;;;;;;;;;;;;;;
6;Ростовский филиал;Рай.центр;АКСАЙ;RoAksLnn30mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,86;DWDM;;;10;2,86;28,6;;;;;;;;;;;;;;
7;Ростовский филиал;Рай.центр;АЭРОПОРТ ПЛАТОВ;RoGrushAeroPlatMX80;AR;MX80;Рай.центр;РОД. НЕСВЕТАЙСКИЙ;RoRdnPshk23MX80;AR;MX80;10;0,029;DWDM;;;10;0,029;0,29;;;;;;;;;;;;;;
8;Ростовский филиал;Рай.центр;АЭРОПОРТ ПЛАТОВ;RoGrushAeroPlatMX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960c;CR;MX960;10;0,238;DWDM;;;10;0,238;2,38;;;;;;;;;;;;;;
9;Ростовский филиал;Рай.центр;БАТАЙСК;RoBtsKrpsk4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;5,56;DWDM;;;10;5,56;55,6;;;;;;;;;;;;;;
10;Ростовский филиал;Рай.центр;БАТАЙСК;RoBtsKrpsk4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,74;DWDM;;;10;3,74;37,4;;;;;;;;;;;;;;
11;Ростовский филиал;Рай.центр;БАТАЙСК;RoBtsKrpsk4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,25;DWDM;;;10;2,25;22,5;;;;;;;;;;;;;;
12;Ростовский филиал;Рай.центр;БАТАЙСК;RoBtsKrpsk4MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,94;DWDM;;;10;2,94;29,4;;;;;;;;;;;;;;
13;Ростовский филиал;Рай.центр;БАГАЕВСКАЯ;RoBgvKrasn2MX80;AR;MX80;Рай.центр;СЕМИКАРАКОРСК;ROSmkArbs10MX480;AR;MX480;10;3,47;DWDM;;;10;3,47;34,7;;;;;;;;;;;;;;
14;Ростовский филиал;Рай.центр;БАГАЕВСКАЯ;RoBgvKrasn2MX80;AR;MX80;Рай.центр;НОВОЧЕРКАССК;RONvcBkln25MX480;AR;MX480;10;2,31;DWDM;;;10;2,31;23,1;;;;;;;;;;;;;;
15;Ростовский филиал;Рай.центр;БОКОВСКАЯ;RoBokKng11MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,635;DWDM;;;10;0,635;6,35;;;;;;;;;;;;;;
16;Ростовский филиал;Рай.центр;БОКОВСКАЯ;RoBokKng11MX80;AR;MX80;Рай.центр;ВЕШЕНСКАЯ;RoVshLenin81MX80;AR;MX80;10;0,009;DWDM;;;10;0,009;0,09;;;;;;;;;;;;;;
17;Ростовский филиал;Рай.центр;ВЕШЕНСКАЯ;RoVshLenin81MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,01;DWDM;;;10;1,01;10,1;;;;;;;;;;;;;;
18;Ростовский филиал;Рай.центр;ВЕШЕНСКАЯ;RoVshLenin81MX80;AR;MX80;Рай.центр;БОКОВСКАЯ;RoBokKng11MX80;AR;MX80;10;0,041;DWDM;;;10;0,041;0,41;;;;;;;;;;;;;;
19;Ростовский филиал;Рай.центр;ВЕСЕЛЫЙ;RoVslOktb178mx80;AR;MX80;Рай.центр;ЗЕРНОГРАД;RoZrnLenin34MX480;AR;MX480;10;0,932;ВОЛС;;;10;0,932;9,32;;;;;;;;;;;;;;
