Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
г. Азов;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 1 г. Азова;г. Азов, ул. Мира, 2;4096 Кбит/с;8631621522;80.254.100.4;lt-0/0/0.1189;172.23.173.36/30;10.61.105.32/27;10.30.42.5;1/0/27;;;;;;
г. Азов;МБОУ СОШ № 15 г. Азова;г. Азов, пер. Социалистический, 25;256 Кбит/с;rs00255098;80.254.100.4;lt-0/0/0.273;172.23.179.181;10.61.157.160;10.42.3.52;Gi0/0/2;Стык с РТКОММ;;;;;
г. Азов;МБОУ Лицей  г. Азова;г.Азов, ул. Привокзальная,39а;6144 Кбит/с;8631621524;80.254.100.4;lt-0/0/0.1193;172.23.173.61;10.61.105.224;10.30.42.15;6/0/30;;;;;;
г. Азов;МБОУ вечерняя (сменная) общеобразовательная школа № 1 г. Азова;г. Азов, ул. Московская, 60;2048 Кбит/с;8631621502;80.254.100.4;lt-0/0/0.1195;172.23.173.65;10.61.106.0;10.30.42.98;GE0/0/22;;;;;;
г. Азов;ГКОУ РО Азовская школа №7;346780, г. Азов, ул. Васильева, 92;4096 Кбит/с;8631621500;80.254.100.4;lt-0/0/0.1299;172.23.173.57;10.61.105.192;10.30.42.16;6/0/4;;;;;;
г. Азов;МБОУ Стефанидино-Дарская ООШ;с.Стефанидино – Дар,ул.Мира,45 346773;4096 Кбит/с;;80.254.100.4;lt-0/0/0.3546;172.23.160.129;10.61.4.0;10.30.42.173;pon 3;;;;;;
г. Батайск;МБОУ СОШ №2;г. Батайск, ул. 50 лет Октября, 71;2048 Кбит/с;8631133731;20.0.0.54;;172.23.179.185;10.61.157.192;10.30.54.7;14/0/28;;;;;;
г. Батайск;МБОУ СОШ №4 с УИОП;г. Батайск, ул. Белорусская, 86;2048 Кбит/с;8631133692;80.254.100.4;lt-0/0/0.1694;172.23.177.237;10.61.143.96;10.30.54.28;нет;;;;;;
г. Батайск;МБОУ СОШ №5;г. Батайск, ул. Первомайское кольцо, 175;2048 Кбит/с;;20.0.0.54;;172.23.179.189;10.61.157.224;10.30.54.7;10/0/9;;;;;;
