ID объекта СКУП;Адрес УИК/ТИК;Наименование УИК/ТИК;Технология подключения;Техническое решение;Наименование Оператора ПМ;Информация по организации канала до объекта;Принадлженость объекта к МЦТЭТ: АМЦТЭТ,ТГЦТЭТ, ВМЦТЭТ, НМЦТЭТ, КМЦТЭТ, УСТП-1,УСТП-2,УСТП-3,УСТП-4,УСТП-5,УСТП-6,УСТП-7;Информацию заносит сотрудник ТБ. Вид наряда на организацию канала: по существующему подключению ВОЛС/МЕДЬ. организация нового канала ВОЛС/МЕДЬ;Ком. блок. Наряд выписан № наряда;Необходимость оконечного оборудования (модемы:ADSL/SHDSL, коммутатор 8 портов);IP-adress/Port Оборудования на УД (DSLAM, комметатор агригации);Канал организован и протестирован скорость соответствует Да/Нет;Указать порт на оконечном устройстве. Его необходимо заклеить монтажной лентой с пометкой выборы.;Место расположение оконечного устройства;Примечание;IP addres коммутатора на объекте (при его наличии);Готовность объекта. ДА;Выделенная сеть;Учёт оборудования;RID объекта;Подрядчик;IP адрес CAM1 Комиссия;IP адрес CAM2 Урна;IP адрес коммутатора в шкафу УИК/ТИК;IP адрес контроллера;Канал прописан РЦУСС;Камера зарегистрирована;IP шлюза;Vlan на PE;Description;ФИО основного ответственного за УИК;E-mail основного ответственного за УИК;Контактный телефон (служебный/сотовый) основного ответственного за УИК;ФИО заместителя на время отсутствия основного ответственного за УИК;E-mail заместителя на время отсутствия основного ответственного за УИК;Контактный телефон (служебный/сотовый) заместителя на время отсутствия основного ответственного за УИК;Объект принят 2ЛТП и сдан в эксплуатацию;Контроллер сконфигурирован и подключен. ДА;Статус;Online Test;Протестировано;Cинхронизация;Акт П16 подписан, демонтаж произведён;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №4;Столбец №5;Столбец №6;Столбец №7;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;Столбец №16;Столбец №17;Столбец №18;Столбец №19;Столбец №20;Столбец №21;Столбец №22;Столбец №23;Столбец №24;Столбец №25;Столбец №26;Столбец №27;Столбец №28;Столбец №29;Столбец №30;Столбец №31;Столбец №32;Столбец №33;Столбец №34;Столбец №35;Столбец №36;Столбец №37;Столбец №38;Столбец №39;Столбец №40;Столбец №41;Столбец №42;Столбец №43;Столбец №44;;;;;
68020;Белая Калитва,Вокзальная,1;УИК №275;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (модернизация не требуется;КМЦТЭТ;Организация нового канала Медь;863930106394455.17, 863930106394656.17;ADSL;DSLAM:10.30.13.27, порт 00/01/47;да;порт ADSL модема 1;1 этаж . Зал ожидания.;Смена технологии;;09.02.18;10.234.0.0/28;5 очередь;B61K0275;АИСиС -Регион;10.234.0.2;10.234.0.3;10.234.0.14;10.234.0.4;06.02.18;Да;10.234.0.1;2000;275BelayaKalitvaVokzalnaya1;Швагурцев Александр Александрович  ;A.Shvagurtsev@south.rt.ru  ;(989)-702-61-93  ;Казьмин Эдуард Владимирович  ;Elena.Zvyagintseva@south.rt.ru  ;(989)-702-33-28  ;;;danger;Online Test;05.03.18 Волобуев;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68021;Белая Калитва,Космонавтов,3;УИК №276;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930106395644.17, 863930106396053.17;;коммутатор агригации:10.83.1.1 порт 0/0/9;да;порт 23 коммутатор доступа;1 этаж. Фойе;;[10.83.1.129];26.01.18;10.234.0.16/28;Добавлено;B61K0276;Черновых Сергей Иванович, Лежнев Александр Иванович, Сотников Иван Викторович;10.234.0.18;10.234.0.19;10.234.0.30;10.234.0.20;да;Да;10.234.0.17;2001;276BelayaKalitvaKosmonavtov3;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68022;Белая Калитва,Строительная,6;УИК №277;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение)   ;КМЦТЭТ;Организация нового канала Медь;863930106396412.17, 863930106396472.17;ADSL;DSLAM:10.30.13.27, порт 00/01/53;да;порт ADSL модема 1;1 этаж . Актовый зал;Смена технологии;;08.02.18;10.234.0.32/28;4 очередь;B61K0277;АИСиС -Регион;10.234.0.34;10.234.0.35;10.234.0.46;10.234.0.36;да;Да;10.234.0.33;2002;277BelayaKalitvaStroitelnaya6;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Ларкин 05.03.18 FAIL;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68023;Белая Калитва,Энгельса,17;УИК №278;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930106396573.17, 863930106396624.17;;коммутатор агригации:10.83.10.1 порт 0/0/20;да;порт 24 коммутатор доступа;1 этаж. Фойе;;[10.83.10.22];06.02.18;10.234.0.48/28;Добавлено;B61K0278;АИСиС -Регион;10.234.0.50;10.234.0.51;10.234.0.62;10.234.0.52;да;Да;10.234.0.49;2003;278BelayaKalitvaEngelsa17;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68024;Белая Калитва,Театральная,1;УИК №279;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (модернизация не требуется);КМЦТЭТ;Организация нового канала Медь на номер 25537;863930106394656.17;модем ADSL;DSLAM:10.30.13.27, порт 00/01/46;да;порт ADSL модема 1;1 этаж. Фойе;Смена технологии;;07.02.18;10.234.0.64/28;Добавлено;B61K0279;АИСиС -Регион;10.234.0.66;10.234.0.67;10.234.0.78;10.234.0.68;да;Да;10.234.0.65;2004;279BelayaKalitvaTeatralnaya1;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Ларкин 05.03.18 FAIL;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68025;Белая Калитва,Калинина,17;УИК №280;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930106396741.17, 863930106396796.17;;коммутатор агригации:10.83.2.1 порт 0/0/21;да;порт 8 коммутатор доступа;1 этаж. Актовый зал;;[10.83.2.20];06.02.18;10.234.0.80/28;Добавлено;B61K0280;АИСиС -Регион;10.234.0.82;10.234.0.83;10.234.0.94;10.234.0.84;да;Да;10.234.0.81;2005;280BelayaKalitvaKalinina17;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68026;Белая Калитва,Калинина,21;УИК №281;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930106396890.17, 863930106397130.17;;коммутатор агригации:10.83.6.1 порт 0/0/15;да;порт 23 коммутатор доступа;1 этаж. Спортивный зал;;[10.83.6.66];30.01.18;10.234.0.96/28;Добавлено;B61K0281;АИСиС -Регион;10.234.0.98;10.234.0.99;10.234.0.110;10.234.0.100;да;Да;10.234.0.97;2006;281BelayaKalitvaKalinina21;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68027;Белая Калитва,Мичурина,34;УИК №282;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930106397687.17, 863930106397984.17;;10.83.2.129 ;да;порт 22 коммутатор доступа;1 этаж. Спортивный зал;10.83.2.129 подключен от 10.83.2.54. (22порт);10.83.2.54 0/0/22 10.83.2.129 0/0/22;13.02.18;10.234.0.112/28;Добавлено;B61K0282;АИСиС -Регион;10.234.0.114;10.234.0.115;10.234.0.126;10.234.0.116;13.02.18;Да;10.234.0.113;2007;282BelayaKalitvaMichurina34;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93  	  ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68028;Белая Калитва,Энтузиастов,11А;УИК №283;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация по существующему каналу  ВОЛС;863930107722119.18;Роутер;коммутатор агригации:10.83.2.1 порт 0/0/3;да;порт 5 коммутатор доступа;2 этаж. Актовый зал;Внимание! Есть существующее подключение. Необходима настройка ТРАНКОВЫХ портов;[10.83.2.64];06.02.18;10.234.0.128/28;Добавлено;B61K0283;АИСиС -Регион;10.234.0.130;10.234.0.131;10.234.0.142;10.234.0.132;да;Да;10.234.0.129;2008;283BelayaKalitvaEntuziastov11A;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
